sampleName,Group,Sample.ID.TA,ENSMUSG00000027273_Snap25,ENSMUSG00000070570_Slc17a7,ENSMUSG00000070880_Gad1,ENSMUSG00000024411_Aqp4,ENSMUSG00000050121_Opalin,ENSMUSG00000029231_Pdgfra,ENSMUSG00000038642_Ctss,ENSMUSG00000061718_Ppp1r1b,ENSMUSG00000051920_Rspo2
1068_0002,pBA_NAc,run1_mouse3,13.621201460944704,12.152548946314308,9.262873552814176,9.277640428250299,9.135256252065561,8.429916509692418,9.372882106208591,9.778138811681819,9.224897423618915
1068_0003,pBA_NAc,run1_mouse4,13.731356011943328,11.911133937182303,9.553010635227782,9.355051284879861,9.00574583875515,8.979276404749886,9.185779890604739,10.589333141217772,8.740069382030022
1068_0004,pBA_NAc,run1_mouse5,13.667210138701131,12.089206883944058,9.372385402092885,9.864090480952207,9.023491610196551,8.550565643216611,9.427741600891553,10.0731085302139,9.103590761495232
1068_0005,pBA_NAc,run1_mouse6,13.496922250971965,11.744295643586824,9.550644034115258,8.710485363810294,9.043447183366574,8.547256823629771,8.998472509111775,9.377795126251142,9.288522189888656
1068_0012,pBA_NAc,run1_mouse13,13.666021331093562,12.07265897220524,9.471564019949463,9.145145032949472,9.49674406944046,8.959386041961604,9.507993789843557,10.500692080409241,8.582780023309057
1068_0013,pBA_NAc,run1_mouse14,13.65912985499115,11.97895274763893,9.663845156007682,9.886551697860597,9.041640168837883,8.868194439633129,9.348381127306594,9.886551697860597,9.033587618283875
1068_0018,pBA_NAc,run2_mouse7,13.878955894262097,12.182472849191575,9.58547033324786,9.068469604473215,8.788100943642926,8.386630361832916,9.254603826609687,10.877582263679553,9.348060260833554
1068_0019,pBA_NAc,run2_mouse8,13.550701144621446,12.417683367229124,9.479299768236217,9.183170586723259,9.083578891544276,8.722719533576695,9.347235924124309,10.398305422195994,9.067404835824481
1068_0020,pBA_NAc,run2_mouse9,13.678820774073355,12.22005627072955,9.343406641744034,9.02839585072231,9.001897985757202,8.574798995807706,9.16038699898858,10.689630052919492,9.038105160715258
1068_0023,pBA_NAc,run2_mouse13,13.557215572901208,12.195621853793284,9.114521958589242,9.328123190699277,8.850490715164963,8.493112972866722,9.400192517631126,10.366679459029651,8.976455562576383
1068_0024,pBA_NAc,run2_mouse15,13.62695113925867,11.98241049750072,9.64548355583999,9.129025256783784,9.190107750521465,8.872949267022143,9.360305972953146,9.83023852073184,9.301101256327723
1068_0025,pBA_NAc,run2_mouse16,13.286190620313338,12.363952179996492,9.702572563609735,8.800505431324158,9.035622423995145,8.611606033140808,8.99286851450184,10.373857192948405,9.291027823381334
1054_0003,intBA_NAc,run1_mouse3,14.111558793695483,12.429930090382406,9.612898841469038,9.01770287377168,9.092193861006837,8.837052941580364,9.429418845480146,9.322483804396649,9.797072960613782
1054_0004,intBA_NAc,run1_mouse4,14.015678683933272,12.418064129880307,9.322676830160463,8.599621164611095,9.081078798847084,8.73733665610127,9.253087758775553,9.291413147999126,9.740597831503722
1054_0005,intBA_NAc,run1_mouse5,13.90529884149206,12.571606831888209,9.304022422879468,9.562139390193002,8.571884562776122,8.309286999551135,9.304022422879468,9.042143902528077,9.680341730423185
1054_0006,intBA_NAc,run1_mouse6,14.025697281261326,12.042469866054262,9.340497401507603,9.13198458058685,9.100096485567427,9.062698756019634,9.158941709967168,9.40678958531978,9.482640201282964
1054_0014,intBA_NAc,run1_mouse14,13.751784983868808,12.049817678326106,9.439415192528298,8.668162198668464,8.934920339429263,8.603557468269909,9.400506152242967,9.50288661742707,9.518173754267785
1054_0020,intBA_NAc,run2_mouse7,13.751292769007302,12.110669314469424,9.436638235604358,8.610649878193472,8.708789093253394,9.02338017182712,9.49106935668464,9.278010639814012,9.443600264843928
1054_0021,intBA_NAc,run2_mouse8,13.803980696285347,12.364637001172593,9.217654061892468,8.443273400822497,9.314639905037406,8.148937507138454,9.31882085716603,9.335366570134344,9.613723134684275
1054_0022,intBA_NAc,run2_mouse9,14.134050646695615,12.176350589081393,9.50493285724694,8.944813525845506,9.218402732076548,8.83650154329301,9.202671767392223,9.25508665846307,9.59225489213606
1054_0025,intBA_NAc,run2_mouse13,13.686330621645546,12.153495816414713,9.558652778343875,9.166641554106764,8.522159779201525,8.609825003816079,9.136270442185072,9.70833112417609,9.525594214270406
1054_0027,intBA_NAc,run2_mouse15,13.694740348566103,11.982707962129258,9.138049024429929,8.819803296015285,8.86434469183796,8.38317434560631,9.539946976301243,8.956294490083213,9.854187724776894
1054_0028,intBA_NAc,run2_mouse16,13.728291638204352,12.41674384493746,9.249905293258474,8.717424796717903,9.341836729282306,8.59041575454681,9.69258881608414,8.936647000498274,9.93111995762612
