gene,1054_0003_Control,1054_0004_Control,1054_0005_Control,1054_0006_Control,1054_0014_Control,1054_0020_Control,1054_0021_Control,1054_0022_Control,1054_0025_Control,1054_0027_Control,1054_0028_Control,1068_0002_Control,1068_0003_Control,1068_0004_Control,1068_0005_Control,1068_0012_Control,1068_0013_Control,1068_0018_Control,1068_0019_Control,1068_0020_Control,1068_0023_Control,1068_0024_Control,1068_0025_Control
ENSMUSG00000021532_Fastkd3,8.7,11.34,9.44,6.02,8.62,6.67,7.76,7.71,3.4899999999999998,11.38,7.6899999999999995,6.41,4.76,3.22,2.01,5.6899999999999995,11.26,4.13,6.72,3.66,3.77,9.96,3.42
ENSMUSG00000021534_1700001L19Rik,44.6,57.78,40.21,56.56,45.83,38.4,36.86,33.949999999999996,38.82,41.33,42.8,37.46,30.51,34.07,38.02,24.5,38.96,20,29.25,25.53,35.06,42.5,46.839999999999996
ENSMUSG00000021536_Adcy2,23.01,29.459999999999997,18.08,11.68,15.08,9.01,17.110000000000003,17.19,13.47,9.07,21.89,6.4,11.34,10.51,14.4,24.19,17.4,2.67,14.92,7.6899999999999995,11.719999999999999,10.65,13.88
ENSMUSG00000021537_Cetn3,156.97,170.20999999999998,111.29,136.91,161.47,147.37,205.08,189.44,183.12,186.6,125.32,101.45,136.64,98.11999999999999,121.14999999999999,151.70999999999998,148.15,99.83,119.41000000000001,104.05,107.25,111.75,129.55
ENSMUSG00000021540_Smad5,1.95,0.35,1.01,0.9,0.27,0.4,1.48,1.1600000000000001,1.42,5.1899999999999995,0.35,1.86,0.37,0.6599999999999999,1.3800000000000001,1.6400000000000001,1.6600000000000001,2.14,2.4,1.31,1.6800000000000002,1.76,1.58
ENSMUSG00000021541_Trpc7,8.719999999999999,2.51,4.18,5.9,4.119999999999999,5.6,1.61,4.14,4.85,7.76,6.56,7.53,8,5.81,6.619999999999999,4.76,8.18,14.44,7.1899999999999995,7.02,10.84,9.870000000000001,10.16
ENSMUSG00000021546_Hnrnpk,157.62,139.69,142.06,164.33,133.08,135.39000000000001,120.27,172.63,169.16,117.79,134.22,127.94000000000001,145.82000000000002,155.26999999999998,115.85,134.52,190.17,153.66,166.51,160.66,154.73,159.38000000000002,143.02
ENSMUSG00000021548_Ccnh,47.75,49.13,47.849999999999994,59.42,44.52,66.27,48.790000000000006,65.86,44.660000000000004,52.86,56.339999999999996,39.690000000000005,63.82,43.27,44.24,49.720000000000006,61.21,56.03,71.64999999999999,52.96,50.59,63.56,40.67
ENSMUSG00000021549_Rasa1,30.34,14.47,11.2,16.74,25.12,26.12,19.99,8.81,31.47,22.479999999999997,16.150000000000002,17.95,16.56,21.85,13.66,14.01,18.01,20.02,30.51,24.07,22.88,20.330000000000002,4.56
ENSMUSG00000021550_2210016F16Rik,5.1499999999999995,0,11.350000000000001,6.6499999999999995,4.84,3.62,2.02,4.6,0.09,6.03,5.359999999999999,9.25,12.129999999999999,11.17,8.42,6.99,7.02,9.91,4.359999999999999,9.239999999999998,6.94,6.470000000000001,3.4099999999999997
